Sol,Index,Drive,Site X,Site Y,Site Z,Loc X,Loc Y,Loc Z,Shift X,Shift Y,Shift Z
667,32,580,57.2640,12.5700,-0.3310,-2400.0270,479.8270,24.6400,-2457.2910,467.2570,24.9710
674,32,774,64.9840,12.8210,-0.3390,-2392.4470,480.3200,24.4670,-2457.4310,467.4990,24.8060
678,32,896,74.6060,29.5970,-0.1870,-2382.6500,496.5560,24.8150,-2457.2560,466.9590,25.0020
681,32,1038,80.0710,33.2640,-0.2590,-2377.1500,500.1750,24.6280,-2457.2210,466.9110,24.8870
684,32,1174,71.2780,51.3400,-0.0500,-2385.9270,517.8560,24.7070,-2457.2050,466.5160,24.7570
686,32,1184,71.2110,51.7470,-0.0460,-2385.9910,518.2540,24.7070,-2457.2020,466.5080,24.7530
693,32,1394,71.2270,100.3620,0.3790,-2385.3830,566.2170,25.4210,-2456.6100,465.8550,25.0420
694,32,2340,89.1040,283.5340,5.5340,-2367.0610,746.6610,30.4730,-2456.1650,463.1270,24.9400
695,33,0,0.0000,0.0000,0.0000,-2365.9300,756.5770,31.4240,-2365.9300,756.5770,31.4240
698,33,262,-9.3260,34.4630,7.5490,-2374.9780,790.5470,38.4950,-2365.6520,756.0840,30.9460
700,33,366,-2.7150,42.7540,10.4160,-2368.2290,799.1050,41.7460,-2365.5140,756.3510,31.3300
702,33,402,-6.5980,49.1590,12.1770,-2372.0460,805.3820,43.3340,-2365.4480,756.2230,31.1570
707,33,580,-15.2150,73.6270,15.8890,-2380.5570,829.5300,46.9970,-2365.3420,755.9030,31.1090
707,33,612,-20.0230,74.6140,15.9530,-2385.4580,830.6990,47.0930,-2365.4350,756.0850,31.1400
708,33,1756,-169.3530,159.2370,29.3000,-2532.4890,915.6410,60.3440,-2363.1360,756.4040,31.0440
711,33,2864,-335.6230,254.1360,42.4610,-2695.9570,1010.2720,73.1400,-2360.3340,756.1360,30.6790
713,33,3878,-384.2530,396.2100,48.4660,-2743.0070,1150.7080,78.6600,-2358.7540,754.4980,30.1940
714,33,4752,-467.8200,484.8950,49.6980,-2825.0810,1238.3810,79.4670,-2357.2610,753.4860,29.7690
715,34,0,0.0000,0.0000,0.0000,-2867.7200,1421.3580,82.9620,-2867.7200,1421.3580,82.9620
716,34,952,-47.3560,172.4900,3.9600,-2913.6380,1591.4950,86.7600,-2866.2820,1419.0050,82.8000
718,34,2098,-140.4840,345.5930,9.0680,-3005.1750,1762.9120,91.7590,-2864.6910,1417.3190,82.6910
719,34,4394,-542.8170,417.1480,26.1450,-3402.4970,1838.0440,106.9890,-2859.6800,1420.8960,80.8450
721,34,5120,-573.6510,345.6540,29.9460,-3433.4870,1767.2850,110.8750,-2859.8360,1421.6310,80.9290
726,35,0,0.0000,0.0000,0.0000,-3433.4870,1767.2850,110.8750,-3433.4870,1767.2850,110.8750
727,36,0,0.0000,0.0000,0.0000,-3433.4870,1767.2850,110.8750,-3433.4870,1767.2850,110.8750
731,36,334,-57.2100,9.9050,-3.0950,-3490.1880,1777.0480,107.4690,-3432.9780,1767.1430,110.5640
731,36,1610,-173.4880,-90.8520,3.4410,-3605.8150,1677.5620,114.6630,-3432.3270,1768.4140,111.2220
732,36,3294,-311.9360,-246.0030,10.6950,-3744.0990,1525.7860,120.7670,-3432.1630,1771.7890,110.0720
736,37,0,0.0000,0.0000,0.0000,-3761.1770,1516.5110,120.8310,-3761.1770,1516.5110,120.8310
753,37,1798,-265.4410,7.8210,7.3990,-4024.0610,1526.9920,127.3330,-3758.6200,1519.1710,119.9340
755,37,2562,-376.3020,64.6590,13.4170,-4133.1650,1583.7670,132.9850,-3756.8630,1519.1080,119.5680
759,37,3758,-234.4280,206.5410,9.4010,-3991.6390,1722.2350,128.3640,-3757.2110,1515.6940,118.9630
762,37,4972,-396.3810,217.4000,17.9590,-4151.2610,1736.9750,136.5210,-3754.8800,1519.5750,118.5620
763,38,0,0.0000,0.0000,0.0000,-4342.7790,1829.7880,147.7440,-4342.7790,1829.7880,147.7440
764,38,944,-132.5610,90.1370,1.4640,-4473.2210,1919.6600,149.2030,-4340.6600,1829.5230,147.7390
765,38,1808,-236.9590,211.6350,1.8000,-4575.3140,2041.0850,149.4210,-4338.3550,1829.4500,147.6210
766,38,2208,-250.7170,261.5240,2.2570,-4588.6780,2090.3740,150.0160,-4337.9610,1828.8500,147.7590
768,39,0,0.0000,0.0000,0.0000,-4598.0090,2171.8940,148.5870,-4598.0090,2171.8940,148.5870
770,39,650,-5.8230,99.4400,-2.3790,-4603.3630,2270.3580,146.0780,-4597.5400,2170.9180,148.4570
784,39,926,-26.9660,87.1320,-0.3590,-4624.5500,2258.3330,148.3410,-4597.5840,2171.2010,148.7000
793,39,1036,-24.1900,77.0810,-0.3940,-4622.2090,2248.9580,148.2010,-4597.6000,2171.5000,148.5950
795,39,1112,-26.2840,82.0120,-0.0470,-4623.7960,2253.2810,148.7050,-4597.5120,2171.2690,148.7520
797,39,1170,-27.8610,83.4570,0.2470,-4625.4360,2254.7320,148.8380,-4597.5750,2171.2750,148.5910
816,39,1418,-32.4340,129.2370,-0.3270,-4629.2250,2300.7030,147.7180,-4596.7910,2171.4660,148.0450
818,40,0,0.0000,0.0000,0.0000,-4649.2810,2276.7280,148.9010,-4649.2810,2276.7280,148.9010
821,40,132,0.1120,-2.9560,0.2010,-4649.1310,2273.8260,149.1210,-4649.2430,2276.7820,148.9200
843,41,0,0.0000,0.0000,0.0000,-4782.1560,2182.1850,154.7060,-4782.1560,2182.1850,154.7060
856,42,0,0.0000,0.0000,0.0000,-4845.2470,2161.2630,154.2140,-4845.2470,2161.2630,154.2140
872,43,0,0.0000,0.0000,0.0000,-5081.1750,2322.2660,151.9130,-5081.1750,2322.2660,151.9130
886,44,0,0.0000,0.0000,0.0000,-5105.0020,2143.7340,149.3100,-5105.0020,2143.7340,149.3100
911,45,0,0.0000,0.0000,0.0000,-5633.0310,2300.7790,146.5980,-5633.0310,2300.7790,146.5980
925,45,86,-8.0221,-1.3686,0.2779,-5641.0610,2299.4220,146.6400,-5633.0389,2300.7906,146.3621
926,45,760,-6.4749,105.6120,2.6301,-5638.9500,2406.8560,149.1060,-5632.4751,2301.2440,146.4760
927,45,1714,-60.5779,270.5810,9.9140,-5692.6730,2573.1700,156.7680,-5632.0951,2302.5890,146.8540
929,45,2198,-88.8607,208.7580,8.0265,-5721.2870,2511.1980,154.4190,-5632.4263,2302.4400,146.3925
931,45,2726,-152.2210,217.6980,10.3404,-5784.8120,2520.5840,156.3100,-5632.5910,2302.8860,145.9696
932,45,3674,-213.1150,308.5700,16.2038,-5844.9440,2612.4860,162.1050,-5631.8290,2303.9160,145.9012
933,46,0,0.0000,0.0000,0.0000,-5838.2900,2613.2730,162.2470,-5838.2900,2613.2730,162.2470
950,46,1870,71.7959,206.8450,4.1585,-5764.6800,2819.9590,165.9460,-5836.4759,2613.1140,161.7876
957,46,3210,42.1261,332.6900,10.0272,-5793.5960,2946.2350,170.2980,-5835.7221,2613.5450,160.2708
958,46,3888,4.0140,402.2490,11.7698,-5832.1260,3016.2700,172.6640,-5836.1400,2614.0210,160.8942
